,Account Number,Balance Date,Balance,Transaction Value
1,10005367,2023-02-01,728.25,
1,10011977,2023-02-01,676.54,
1,10024680,2023-02-01,414.03,-153.43
1,10031238,2023-02-01,576.52,
1,10034341,2023-02-01,390.39,
1,10079965,2023-02-01,799.27,
1,10091076,2023-02-01,2600.34,-27.27999999999999
1,10231977,2023-02-01,177.63,116.0
1,10232603,2023-02-01,858.23,125.68
1,10243581,2023-02-01,104.27,
1,10271519,2023-02-01,50.02,
1,10273387,2023-02-01,581.83,
1,10288821,2023-02-01,642.41,
1,10295384,2023-02-01,153.85,
1,10350324,2023-02-01,861.81,
1,10437896,2023-02-01,661.08,
1,10449180,2023-02-01,277.23,48.99
1,10464544,2023-02-01,666.43,-89.56
1,10473116,2023-02-01,292.79,-94.91
1,10521885,2023-02-01,280.7,43.55
1,10553619,2023-02-01,1543.99,-40.58999999999999
1,10554116,2023-02-01,122.12,-121.83
1,10586481,2023-02-01,73.83,
1,10608220,2023-02-01,1243.4099999999999,-55.919999999999995
1,10631690,2023-02-01,947.45,
1,10675607,2023-02-01,170.63,-114.21
1,10725127,2023-02-01,984.69,
1,10769769,2023-02-01,813.63,-93.28
1,10783139,2023-02-01,992.98,
1,10799356,2023-02-01,915.04,
1,10819898,2023-02-01,853.93,103.68
1,10842511,2023-02-01,651.77,
1,10847941,2023-02-01,40.25,
1,10864084,2023-02-01,119.98,
1,10942334,2023-02-01,55.42,
1,10949168,2023-02-01,471.8,
1,10989769,2023-02-01,334.18,
1,11008868,2023-02-01,271.3,
1,11026937,2023-02-01,303.44,
1,11061291,2023-02-01,-89.71,-162.41
1,11067879,2023-02-01,524.5400000000001,-625.59
1,11110085,2023-02-01,861.29,
1,11150945,2023-02-01,1852.76,-105.10000000000002
1,11228111,2023-02-01,-11.84,-142.2
1,11242986,2023-02-01,184.28,-160.4
1,11251776,2023-02-01,504.02,
1,11302888,2023-02-01,458.83,
1,11306584,2023-02-01,574.4,52.0
1,11333185,2023-02-01,693.23,
1,11346696,2023-02-01,661.99,
1,11359678,2023-02-01,837.17,
1,11360263,2023-02-01,236.81,100.02
1,11368995,2023-02-01,502.32,-63.48
1,11437275,2023-02-01,115.34,
1,11438427,2023-02-01,484.08,
1,11463412,2023-02-01,342.53,
1,11475827,2023-02-01,412.27,48.39
1,11522216,2023-02-01,590.37,
1,11662506,2023-02-01,406.04,-167.85
1,11694020,2023-02-01,379.2,
1,11717885,2023-02-01,6.06,
1,11728970,2023-02-01,711.65,
1,11736814,2023-02-01,381.51,
1,11744491,2023-02-01,609.97,255.14999999999998
1,11764022,2023-02-01,169.42,-117.24
1,11778031,2023-02-01,514.7,
1,11790056,2023-02-01,243.85,24.480000000000004
1,11804173,2023-02-01,353.62,
1,11826060,2023-02-01,782.13,
1,11831265,2023-02-01,253.64,-335.84
1,11836917,2023-02-01,511.95,-138.19
1,11846043,2023-02-01,915.59,
1,11882775,2023-02-01,-671.14,-1164.33
1,11910409,2023-02-01,160.79,-80.43
1,11928523,2023-02-01,818.51,
1,12035637,2023-02-01,461.35,
1,12042151,2023-02-01,336.44,
1,12088180,2023-02-01,656.51,
1,12099406,2023-02-01,586.14,-94.97
1,12111805,2023-02-01,1001.89,110.9
1,12172627,2023-02-01,550.41,
1,12185627,2023-02-01,873.23,
1,12198380,2023-02-01,445.46,
1,12199229,2023-02-01,804.0,
1,12233762,2023-02-01,386.05,
1,12240007,2023-02-01,894.48,
1,12241820,2023-02-01,207.29,
1,12388837,2023-02-01,463.31,
1,12420291,2023-02-01,578.47,
1,12423613,2023-02-01,459.18,
1,12440230,2023-02-01,842.67,
1,12493067,2023-02-01,404.61,
1,12494185,2023-02-01,762.16,
1,12499656,2023-02-01,605.31,243.93
1,12560453,2023-02-01,232.63,147.6
1,12583269,2023-02-01,910.46,
1,12666385,2023-02-01,1707.22,352.59999999999997
1,12680102,2023-02-01,674.64,
1,12725274,2023-02-01,194.04,167.85
1,12859818,2023-02-01,240.28,89.22
1,12899540,2023-02-01,873.85,-83.35
1,12964138,2023-02-01,1261.83,46.13
1,12985543,2023-02-01,262.67,-140.27
1,13058003,2023-02-01,218.0,
1,13076932,2023-02-01,419.47,
1,13117442,2023-02-01,799.69,
1,13167285,2023-02-01,396.09000000000003,-203.88
1,13176075,2023-02-01,67.3,
1,13182613,2023-02-01,384.42,
1,13197335,2023-02-01,1534.15,184.28
1,13267945,2023-02-01,299.77,
1,13274987,2023-02-01,868.55,-33.51
1,13277127,2023-02-01,793.22,
1,13322659,2023-02-01,536.37,-153.9
1,13388069,2023-02-01,13.45,
1,13426667,2023-02-01,70.47,
1,13459523,2023-02-01,814.31,
1,13474543,2023-02-01,559.28,120.92
1,13537427,2023-02-01,609.54,52.56
1,13551717,2023-02-01,-1334.05,-1361.0
1,13558846,2023-02-01,1203.5,-43.730000000000004
1,13563384,2023-02-01,952.65,
1,13584908,2023-02-01,162.0,
1,13610259,2023-02-01,587.73,
1,13687711,2023-02-01,757.76,
1,13713704,2023-02-01,1.48,
1,13788234,2023-02-01,302.78,
1,13945841,2023-02-01,813.51,473.7
1,13965360,2023-02-01,299.46,
1,13997603,2023-02-01,516.79,
1,14000447,2023-02-01,541.73,97.79
1,14014401,2023-02-01,554.46,
1,14039438,2023-02-01,94.52,
1,14045416,2023-02-01,212.17,-53.46
1,14052052,2023-02-01,915.74,
1,14086187,2023-02-01,340.59,
1,14103210,2023-02-01,369.01,
1,14136082,2023-02-01,302.02,82.18
1,14144267,2023-02-01,97.69,
1,14183437,2023-02-01,779.47,
1,14253152,2023-02-01,43.85,
1,14337606,2023-02-01,561.8,
1,14355869,2023-02-01,-723.44,-1052.6
1,14397662,2023-02-01,363.51,
1,14421453,2023-02-01,964.14,150.38
1,14448009,2023-02-01,1604.17,-210.36
1,14505806,2023-02-01,1663.65,974.4
1,14564252,2023-02-01,263.39,
1,14592080,2023-02-01,245.22,
1,14594928,2023-02-01,470.64,
1,14600288,2023-02-01,622.77,
1,14648004,2023-02-01,580.33,14.790000000000006
1,14685853,2023-02-01,-97.17,-142.37
1,14723713,2023-02-01,378.07,
1,14749214,2023-02-01,194.54,
1,14780986,2023-02-01,286.05,105.85
1,14812157,2023-02-01,1180.04,645.5
1,14840078,2023-02-01,465.92,-118.24
1,14866733,2023-02-01,171.57,-77.78
1,14897645,2023-02-01,202.69,113.69
1,14907946,2023-02-01,845.72,
1,15033812,2023-02-01,504.58,
1,15044055,2023-02-01,204.3,
1,15052808,2023-02-01,786.05,
1,15055504,2023-02-01,339.94,
