,Transaction ID,Account To,Account From,Transaction Date,Value,Cancelled?,Account Holder ID,Name,Date of Birth,Contact Number,First Line of Address,Account Number,Account Type,Balance Date,Balance
2,46779876,21694967,82023979,2023-02-02,1019.5,N,76986856,Barb Eminson,20/07/1974,7748168711,3149 American Ash Hill,82023979,Gold,2023-01-31,744.37
3,57491925,19094015,65589565,2023-02-12,1761.1,N,37386889,Annabel Medd,17/02/1959,7175713923,24 Warner Junction,65589565,Gold,2023-01-31,321.99
4,108536548,86207903,10553619,2023-02-06,1085.4,N,58583983,Dud Gaunt,04/12/1983,7681115087,3 Canary Avenue,10553619,Basic,2023-01-31,756.2
5,2843750091,20090784,10553619,2023-02-04,1263.9,N,58583983,Dud Gaunt,04/12/1983,7681115087,3 Canary Avenue,10553619,Basic,2023-01-31,756.2
6,176916326,33632099,18185362,2023-02-12,1955.6,N,83289626,Agace Sporle,28/02/1999,7182359874,96 Emmet Pass,18185362,Basic,2023-01-31,609.36
7,184329213,79033058,23231848,2023-02-04,1454.9,N,23989802,Fee Moore,05/04/1944,7116175185,30 Aberg Way,23231848,Gold,2023-01-31,27.12
9,202263606,22035411,99760030,2023-02-02,1028.8,N,66659633,Mata Brownett,16/07/1931,7314541365,5 Kenwood Park,99760030,Gold,2023-01-31,988.0
11,213599996,84448752,22137086,2023-02-08,1368.6,N,42903192,Kerry Gaze,29/06/1992,7903643984,3 Esker Place,22137086,Basic,2023-01-31,410.35
12,4025712466,72784766,22137086,2023-02-09,1288.6,N,42903192,Kerry Gaze,29/06/1992,7903643984,3 Esker Place,22137086,Basic,2023-01-31,410.35
13,215959175,64065043,55986027,2023-02-13,1619.8,N,52570643,Honey Marns,08/04/1956,7121727227,637 Schmedeman Alley,55986027,Basic,2023-01-31,38.94
14,248526839,98620342,83530155,2023-02-12,1006.5,N,85140865,Doyle Abbyss,15/05/1934,7121818033,1493 Tomscot Road,83530155,Basic,2023-01-31,638.57
15,268051321,83659554,85848442,2023-02-08,1537.1,N,20955168,Ingaborg Bradnocke,24/03/1938,7677453073,146 Waywood Circle,85848442,Gold,2023-01-31,118.46
16,275656446,28911002,81655495,2023-02-01,1139.7,N,84399484,Vernice Blonfield,15/03/1933,7981776102,718 Heath Way,81655495,Basic,2023-01-31,315.33
17,9709278754,59705091,81655495,2023-02-02,1091.2,N,84399484,Vernice Blonfield,15/03/1933,7981776102,718 Heath Way,81655495,Basic,2023-01-31,315.33
18,304709484,91184544,74252410,2023-02-11,1207.7,N,11036099,Dulcia Crohan,18/04/1969,7136741404,152 Farmco Park,74252410,Gold,2023-01-31,278.47
19,319483649,98377332,14448009,2023-02-08,1779.2,N,86296209,Brinn Attkins,13/10/1993,7538141937,70105 Hayes Way,14448009,Joint,2023-01-31,958.46
20,3101879213,21392412,14448009,2023-02-04,1367.4,N,86296209,Brinn Attkins,13/10/1993,7538141937,70105 Hayes Way,14448009,Joint,2023-01-31,958.46
21,7466187412,37503622,14448009,2023-02-09,1300.7,N,86296209,Brinn Attkins,13/10/1993,7538141937,70105 Hayes Way,14448009,Joint,2023-01-31,958.46
22,393779424,88040274,33832864,2023-02-06,1743.5,N,11589612,Currie Venditto,27/09/1930,7134154463,65851 Lakewood Drive,33832864,Joint,2023-01-31,46.85
23,495755869,92155262,70624878,2023-02-08,1051.3,N,31108534,Cobby Jedrzejewsky,16/10/1997,7444846231,93122 Summit Point,70624878,Gold,2023-01-31,328.5
24,512522472,32192958,66341438,2023-02-05,1625.6,N,59058746,Cairistiona Stoeckle,12/05/1982,7580758768,9 Linden Pass,66341438,Basic,2023-01-31,685.06
25,1422621332,49581833,66341438,2023-02-13,1013.4,N,59058746,Cairistiona Stoeckle,12/05/1982,7580758768,9 Linden Pass,66341438,Basic,2023-01-31,685.06
26,560740182,67147649,78362587,2023-02-02,1499.9,N,23785249,Derrik Fenelow,28/02/1950,7290005814,6627 Union Center,78362587,Gold,2023-01-31,390.79
27,921255039,81994568,78362587,2023-02-04,1510.5,N,23785249,Derrik Fenelow,28/02/1950,7290005814,6627 Union Center,78362587,Gold,2023-01-31,390.79
28,5805207273,87179572,78362587,2023-02-01,1292.5,N,23785249,Derrik Fenelow,28/02/1950,7290005814,6627 Union Center,78362587,Gold,2023-01-31,390.79
29,634472038,98568929,21719977,2023-02-13,1121.3,N,90895447,Codi Pattison,28/10/1988,7220586650,7 Messerschmidt Alley,21719977,Gold,2023-01-31,758.81
30,634577484,37561049,85192761,2023-02-05,1922.5,N,96807896,Mohandas Terrazzo,24/05/1970,7357309650,19370 Nancy Junction,85192761,Gold,2023-01-31,982.48
31,634727354,89225677,75762044,2023-02-07,1107.6,N,74637124,Holt Hughes,19/10/1954,7493217015,968 Bartelt Alley,75762044,Basic,2023-01-31,980.08
32,652262031,72986897,65200379,2023-02-12,1682.4,N,69150184,Shirl Schulter,27/04/1977,7688231017,61202 Red Cloud Park,65200379,Basic,2023-01-31,4.27
33,703305565,89438779,42652193,2023-02-13,1062.5,N,75578843,Armstrong Conklin,19/03/1982,7615074864,91 Algoma Way,42652193,Gold,2023-01-31,566.53
34,752935623,99514298,26432558,2023-02-07,1121.9,N,26897941,Ruperto Durrand,29/04/1984,7475777928,8 Straubel Pass,26432558,Gold,2023-01-31,465.32
36,768678234,30565855,38921478,2023-02-05,1292.8,N,58538323,Everett Beazer,04/11/1933,7197761533,83244 Veith Avenue,38921478,Gold,2023-01-31,641.48
37,784603499,39744047,17085651,2023-02-14,1583.4,N,90628588,Otho Kelinge,03/06/1958,7524597284,22 Kennedy Trail,17085651,Gold,2023-01-31,945.51
38,4606990570,39542358,17085651,2023-02-11,1168.2,N,90628588,Otho Kelinge,03/06/1958,7524597284,22 Kennedy Trail,17085651,Gold,2023-01-31,945.51
39,8864200932,54067346,17085651,2023-02-11,1635.6,N,90628588,Otho Kelinge,03/06/1958,7524597284,22 Kennedy Trail,17085651,Gold,2023-01-31,945.51
40,791244091,16118153,84406205,2023-02-13,1827.6,N,38257919,Kienan Agate,15/10/1952,7498582538,14 Melvin Pass,84406205,Basic,2023-01-31,818.63
41,799584541,38558525,73328955,2023-02-07,1819.0,N,83595618,Blithe Pettipher,22/04/2002,7404796564,552 Fair Oaks Plaza,73328955,Basic,2023-01-31,404.7
44,829155724,16312979,85140734,2023-02-08,2113.3,N,88446254,Randene Teesdale,30/06/1985,7480366801,255 Gina Junction,85140734,Basic,2023-01-31,699.57
45,858330121,11110085,98882225,2023-02-05,1712.2,N,41639376,Correna Rhymer,23/05/1997,7266417443,64 Portage Court,98882225,Basic,2023-01-31,881.65
47,879871237,58668564,31680976,2023-02-11,1125.0,N,35700806,Germain Clubb,23/02/1999,7336434478,3 Leroy Way,31680976,Gold,2023-01-31,327.79
48,908048920,97294152,99729369,2023-02-01,1194.4,N,15559813,Kerrill Dunstan,18/02/1952,7605122700,921 Merrick Way,99729369,Basic,2023-01-31,751.01
49,5567411537,71383376,99729369,2023-02-03,1619.6,N,15559813,Kerrill Dunstan,18/02/1952,7605122700,921 Merrick Way,99729369,Basic,2023-01-31,751.01
51,963672401,42838186,95390412,2023-02-09,1176.8,N,49235988,Wren Shedd,27/06/1991,7991608640,26466 Ridgeview Court,95390412,Basic,2023-01-31,553.04
52,971308187,64303157,89697097,2023-02-08,1737.4,N,66904429,Chlo Karolczyk,10/12/1975,7396892090,64 Hovde Circle,89697097,Gold,2023-01-31,449.71
53,973180730,26632358,11346696,2023-02-13,1487.7,N,82550379,Sonnnie Lettington,10/09/1956,7690573888,6 Homewood Junction,11346696,Basic,2023-01-31,661.99
