,id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price,Month,Purchase Price Category,Market Cap Category,Rank
11965,966,Artemas,Franzini,A,Capital Goods,NYSE,"Agilent Technologies, Inc.",19120000000.0,74995.16,1,Large,Huge,1
11646,647,Harriot,Odhams,BCH,Finance,NYSE,Banco De Chile,12860000000.0,73529.3,1,Large,Huge,2
11148,149,Agnesse,Mulcock,RELX,Consumer Services,NYSE,RELX PLC,45230000000.0,72197.77,1,Large,Huge,3
11426,427,Way,O'Lagen,VTR,Consumer Services,NYSE,"Ventas, Inc.",24670000000.0,71276.64,1,Large,Huge,4
11194,195,Alvie,Hills,APC,Energy,NYSE,Anadarko Petroleum Corporation,26360000000.0,70530.32,1,Large,Huge,5
3749,750,Buckie,Simenon,TWTR,Technology,NYSE,"Twitter, Inc.",12180000000.0,74088.77,2,Large,Huge,1
3070,71,Caesar,Kuhn,HAS,Consumer Non-Durables,NASDAQ,"Hasbro, Inc.",13710000000.0,74026.09,2,Large,Huge,2
3819,820,Ottilie,Helling,AET,Health Care,NYSE,Aetna Inc.,49950000000.0,73692.88,2,Large,Huge,3
3813,814,Stefania,Gleeton,ZTS,Health Care,NYSE,Zoetis Inc.,30700000000.0,73074.86,2,Large,Huge,4
3651,652,Mufi,Milmoe,FTS,Public Utilities,NYSE,Fortis Inc.,14400000000.0,72540.29,2,Large,Huge,5
4261,262,Carlota,MattiCCI,PAA,Energy,NYSE,"Plains All American Pipeline, L.P.",17990000000.0,73912.72,3,Large,Huge,1
4665,666,Ninette,Roalfe,EFX,Finance,NYSE,"Equifax, Inc.",17140000000.0,72971.97,3,Large,Huge,2
4711,712,Angelina,Lotte,AAPL,Technology,NASDAQ,Apple Inc.,741770000000.0,72661.97,3,Large,Huge,3
4161,162,Barnebas,Sapshed,SNY,Health Care,NYSE,Sanofi,123340000000.0,71475.09,3,Large,Huge,4
4300,301,Valle,Hodgen,DHR,Capital Goods,NYSE,Danaher Corporation,58640000000.0,70151.48,3,Large,Huge,5
5485,486,Dorine,Backsal,CMCSA,Consumer Services,NASDAQ,Comcast Corporation,195790000000.0,73906.69,4,Large,Huge,1
5769,770,Aubine,Aubin,PFE,Health Care,NYSE,"Pfizer, Inc.",196760000000.0,72346.96,4,Large,Huge,2
5678,679,Simonne,Eccersley,INFO,Technology,NASDAQ,IHS Markit Ltd.,19340000000.0,70476.81,4,Large,Huge,3
5993,994,Dieter,Renne,AET,Health Care,NYSE,Aetna Inc.,49950000000.0,69617.74,4,Large,Huge,4
5200,201,Astrid,Betteney,CNP,Public Utilities,NYSE,"CenterPoint Energy, Inc.",12450000000.0,69297.35,4,Large,Huge,5
6980,981,Cello,Pauncefort,SO,Public Utilities,NYSE,Southern Company (The),51250000000.0,74715.06,5,Large,Huge,1
6904,905,Filia,Hirsch,DISCA,Consumer Services,NASDAQ,"Discovery Communications, Inc.",10200000000.0,73377.11,5,Large,Huge,2
6794,795,Mile,Spering,CMI,Energy,NYSE,Cummins Inc.,27140000000.0,71411.59,5,Large,Huge,3
6418,419,Pauly,Linklet,UDR,Consumer Services,NYSE,"United Dominion Realty Trust, Inc.",10750000000.0,70570.64,5,Large,Huge,4
6973,974,Etheline,Gibbings,IR,Capital Goods,NYSE,Ingersoll-Rand plc (Ireland),23640000000.0,70223.65,5,Large,Huge,5
7165,166,Cyndi,Ciraldo,IX,Finance,NYSE,Orix Corp Ads,20830000000.0,72460.18,6,Large,Huge,1
7875,876,Rycca,Dast,LBRDK,Consumer Services,NASDAQ,Liberty Broadband Corporation,16000000000.0,72103.34,6,Large,Huge,2
7216,217,Lynna,Cuerdale,CMG,Consumer Services,NYSE,"Chipotle Mexican Grill, Inc.",12930000000.0,69471.64,6,Large,Huge,3
7949,950,Silvano,Di Domenico,MELI,Miscellaneous,NASDAQ,"MercadoLibre, Inc.",11630000000.0,69332.78,6,Large,Huge,4
7380,381,Andreana,Goakes,CS,Finance,NYSE,Credit Suisse Group,29240000000.0,68630.74,6,Large,Huge,5
8416,417,Ruddy,Lourenco,LOW,Consumer Services,NYSE,"Lowe's Companies, Inc.",67370000000.00001,74938.25,7,Large,Huge,1
8787,788,Maren,Meys,PPL,Public Utilities,NYSE,PPL Corporation,26980000000.0,71866.09,7,Large,Huge,2
8275,276,Chryste,Stokey,STX,Technology,NASDAQ,Seagate Technology PLC,12470000000.0,69535.96,7,Large,Huge,3
8139,140,Gertruda,Swenson,LNC,Finance,NYSE,Lincoln National Corporation,15260000000.0,68272.12,7,Large,Huge,4
8213,214,Raphael,Dennert,COTY,Consumer Non-Durables,NYSE,Coty Inc.,14240000000.0,66668.28,7,Large,Huge,5
9465,466,Derby,Havile,GG,Basic Industries,NYSE,Goldcorp Inc.,11220000000.0,74783.8,8,Large,Huge,1
9071,72,Corissa,Ivanaev,AMOV,Public Utilities,NYSE,"America Movil, S.A.B. de C.V.",51950000000.0,74705.7,8,Large,Huge,2
9195,196,Alejandro,Brower,HBANO,Finance,NASDAQ,Huntington Bancshares Incorporated,21830000000.0,74496.04,8,Large,Huge,3
9310,311,Any,Lurriman,BSX,Health Care,NYSE,Boston Scientific Corporation,38000000000.0,73345.44,8,Large,Huge,4
9895,896,Filberto,De Rye Barrett,SU,Energy,NYSE,Suncor Energy  Inc.,49630000000.0,71424.71,8,Large,Huge,5
10260,261,Livvy,Ayars,EFX,Finance,NYSE,"Equifax, Inc.",17140000000.0,73277.35,9,Large,Huge,1
10423,424,Curry,Heppner,PKX,Basic Industries,NYSE,POSCO,19180000000.0,70673.58,9,Large,Huge,2
10092,93,Bale,Fitzsymonds,REGN,Health Care,NASDAQ,"Regeneron Pharmaceuticals, Inc.",48880000000.0,68326.56,9,Large,Huge,3
10784,785,Keefer,Beneze,BA,Capital Goods,NYSE,Boeing Company (The),118570000000.0,67164.75,9,Large,Huge,4
10291,292,Jude,Napier,HD,Consumer Services,NYSE,"Home Depot, Inc. (The)",187270000000.0,67055.91,9,Large,Huge,5
933,934,Roger,Stedall,ENB,Energy,NYSE,Enbridge Inc,63730000000.0,73764.73,10,Large,Huge,1
340,341,Tanya,Sweetland,TIG,Health Care,NASDAQ,TiGenix,103100000000.0,71434.86,10,Large,Huge,2
715,716,Maddy,Wooles,DISCB,Consumer Services,NASDAQ,"Discovery Communications, Inc.",10250000000.0,70189.41,10,Large,Huge,3
781,782,Farrand,MacFadden,NOK,Technology,NYSE,Nokia Corporation,37350000000.0,69834.47,10,Large,Huge,4
345,346,Koren,McKane,PYPL,Miscellaneous,NASDAQ,"PayPal Holdings, Inc.",62270000000.0,68819.65,10,Large,Huge,5
1600,601,Dyna,Comber,TIF,Consumer Services,NYSE,Tiffany & Co.,11480000000.0,73225.24,11,Large,Huge,1
