Account Number,Balance Date,Transaction Value,Balance
10005367,2023-01-31,,728.25
10005367,2023-02-02,-1097.6,-369.3499999999999
10005367,2023-02-04,144.75,-224.5999999999999
10005367,2023-02-04,-67.01,-291.6099999999999
10005367,2023-02-05,-108.26,-399.8699999999999
10005367,2023-02-08,941.0,541.1300000000001
10005367,2023-02-08,-65.49,475.6400000000001
10005367,2023-02-10,-27.61,448.0300000000001
10005367,2023-02-11,137.25,585.2800000000001
10011977,2023-01-31,,676.54
10011977,2023-02-02,-51.0,625.54
10011977,2023-02-03,120.88,746.42
10011977,2023-02-04,58.05,804.4699999999999
10011977,2023-02-04,-170.56,633.91
10011977,2023-02-04,-189.38,444.53
10011977,2023-02-05,-124.61,319.91999999999996
10011977,2023-02-08,133.74,453.65999999999997
10011977,2023-02-10,-103.55,350.10999999999996
10011977,2023-02-11,-43.89,306.21999999999997
10011977,2023-02-14,1100.7,1406.92
10024680,2023-01-31,,567.46
10024680,2023-02-01,-153.43,414.03000000000003
10024680,2023-02-03,676.5,1090.53
10024680,2023-02-07,-91.92,998.61
10024680,2023-02-07,-127.45,871.16
10024680,2023-02-08,-138.18,732.98
10031238,2023-01-31,,576.52
10031238,2023-02-05,121.7,698.22
10031238,2023-02-05,-110.07,588.15
10031238,2023-02-09,-35.39,552.76
10031238,2023-02-10,65.02,617.78
10031238,2023-02-10,-160.6,457.18
10031238,2023-02-11,-157.96,299.22
10034341,2023-01-31,,390.39
10034341,2023-02-03,1566.6,1956.9899999999998
10034341,2023-02-05,-217.15,1739.8399999999997
10034341,2023-02-08,-110.25,1629.5899999999997
10034341,2023-02-12,123.13,1752.7199999999998
10034341,2023-02-14,-74.72,1677.9999999999998
10079965,2023-01-31,,799.27
10079965,2023-02-03,156.35,955.62
10079965,2023-02-08,-63.9,891.72
10079965,2023-02-08,-132.2,759.52
10079965,2023-02-08,-442.3,317.21999999999997
10091076,2023-01-31,,831.83
10091076,2023-02-01,75.45,907.2800000000001
10091076,2023-02-01,-18.77,888.51
10091076,2023-02-01,-83.96,804.5500000000001
10091076,2023-02-05,53.92,858.47
10091076,2023-02-14,53.72,912.19
10091076,2023-02-14,-10.22,901.97
10231977,2023-01-31,,61.63
10231977,2023-02-01,116.0,177.63
10231977,2023-02-08,-68.31,109.32
10231977,2023-02-09,-1410.1,-1300.78
10231977,2023-02-14,78.92,-1221.86
10231977,2023-02-14,-723.4,-1945.26
10232603,2023-01-31,,732.55
10232603,2023-02-01,125.68,858.23
10232603,2023-02-02,-1190.9,-332.6700000000001
10232603,2023-02-04,-888.9,-1221.5700000000002
10232603,2023-02-06,88.22,-1133.3500000000001
10232603,2023-02-07,-185.47,-1318.8200000000002
10232603,2023-02-10,85.03,-1233.79
10232603,2023-02-10,-1128.4,-2362.19
10243581,2023-01-31,,104.27
10243581,2023-02-04,-109.65,-5.38000000000001
10243581,2023-02-06,-78.93,-84.31000000000002
10243581,2023-02-10,83.3,-1.0100000000000193
10243581,2023-02-12,-1482.9,-1483.91
10243581,2023-02-13,-20.17,-1504.0800000000002
10243581,2023-02-14,-134.51,-1638.5900000000001
10271519,2023-01-31,,50.02
10271519,2023-02-03,2285.6,2335.62
10271519,2023-02-03,95.05,2430.67
10271519,2023-02-03,17.57,2448.24
10271519,2023-02-03,-100.99,2347.25
10271519,2023-02-11,-89.55,2257.7
10271519,2023-02-12,98.81,2356.5099999999998
10271519,2023-02-12,76.71,2433.22
10273387,2023-01-31,,581.83
10273387,2023-02-03,113.03,694.86
10273387,2023-02-03,-556.5,138.36
10273387,2023-02-06,181.24,319.6
10273387,2023-02-07,-38.41,281.19000000000005
10273387,2023-02-08,-140.45,140.74000000000004
10273387,2023-02-10,138.8,279.5400000000001
10273387,2023-02-10,-71.11,208.43000000000006
10273387,2023-02-12,130.68,339.11000000000007
10273387,2023-02-14,278.4,617.51
10288821,2023-01-31,,642.41
10288821,2023-02-07,-151.7,490.71
10288821,2023-02-11,85.41,576.12
10288821,2023-02-12,228.52,804.64
10288821,2023-02-14,94.21,898.85
10295384,2023-01-31,,153.85
10295384,2023-02-03,10.64,164.49
10295384,2023-02-04,55.98,220.47
10295384,2023-02-04,-96.09,124.38
10295384,2023-02-06,100.34,224.72
10295384,2023-02-06,87.57,312.28999999999996
10295384,2023-02-07,186.15,498.44
10295384,2023-02-07,133.09,631.53
10295384,2023-02-09,-110.01,521.52
10295384,2023-02-11,-62.52,459.0
10295384,2023-02-13,128.0,587.0
10350324,2023-01-31,,861.81
10350324,2023-02-03,247.64,1109.4499999999998
10350324,2023-02-04,81.35,1190.8
10350324,2023-02-04,47.39,1238.1899999999998
10350324,2023-02-07,-42.19,1196.0
10350324,2023-02-10,-91.04,1104.96
10350324,2023-02-11,132.19,1237.1499999999999
10350324,2023-02-11,119.75,1356.8999999999999
10350324,2023-02-13,-142.63,1214.27
10437896,2023-01-31,,661.08
10437896,2023-02-04,55.24,716.32
10437896,2023-02-04,-51.84,664.48
10437896,2023-02-06,68.72,733.2
10437896,2023-02-09,116.34,849.5400000000001
10437896,2023-02-11,1107.1,1956.6399999999999
10437896,2023-02-13,73.97,2030.61
10449180,2023-01-31,,228.24
10449180,2023-02-01,48.99,277.23
10449180,2023-02-02,25.81,303.04
10449180,2023-02-06,784.3,1087.34
10449180,2023-02-11,75.88,1163.2199999999998
10464544,2023-01-31,,755.99
10464544,2023-02-01,-89.56,666.4300000000001
10464544,2023-02-07,135.77,802.2
10464544,2023-02-08,132.1,934.3
10464544,2023-02-12,-463.1,471.2
10464544,2023-02-14,987.9,1459.1
10464544,2023-02-14,-81.26,1377.84
10473116,2023-01-31,,387.7
10473116,2023-02-01,-94.91,292.78999999999996
10473116,2023-02-03,87.46,380.25
10473116,2023-02-06,-1194.9,-814.6500000000001
10473116,2023-02-08,103.49,-711.1600000000001
10473116,2023-02-10,28.23,-682.9300000000001
10473116,2023-02-12,-108.51,-791.44
10521885,2023-01-31,,54.87
10521885,2023-02-01,127.41,182.28
10521885,2023-02-01,-83.86,98.42
10521885,2023-02-03,120.33,218.75
10521885,2023-02-09,37.14,255.89
10521885,2023-02-12,70.6,326.49
10521885,2023-02-14,150.19,476.68
10521885,2023-02-14,53.35,530.03
10553619,2023-01-31,,756.2
10553619,2023-02-01,72.18,828.3800000000001
10553619,2023-02-01,-112.77,715.61
10553619,2023-02-03,133.94,849.5500000000001
10553619,2023-02-04,-1263.9,-414.35
